TIME,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
9.900000000,0.282453,0.251965,0.390475,0.285081,0.290946,0.331806,0.241508,0.210971,0.230688,0.271105,0.311168,0.319174
10.000000000,0.262771,0.281033,0.358464,0.296057,0.293087,0.302982,0.247732,0.243129,0.258766,0.265786,0.310688,0.321738
10.100000000,0.253535,0.281084,0.344003,0.298799,0.286066,0.304362,0.25051,0.256064,0.275676,0.271513,0.314626,0.312398
10.200000000,0.29854,0.234807,0.312593,0.2904,0.273587,0.30011,0.243702,0.271242,0.28517,0.296212,0.319492,0.323536
10.300000000,0.301761,0.232341,0.291266,0.287423,0.272514,0.304363,0.248681,0.266177,0.278843,0.307682,0.330548,0.325935
10.400000000,0.283663,0.265063,0.303513,0.264126,0.270201,0.312883,0.254605,0.243418,0.287749,0.302721,0.339474,0.320519
10.500000000,0.286273,0.254875,0.336909,0.264969,0.26586,0.315442,0.277274,0.26731,0.261512,0.293726,0.327294,0.298438
10.600000000,0.306727,0.244487,0.340976,0.304919,0.23876,0.305284,0.294109,0.272391,0.222929,0.310878,0.312888,0.28594
10.700000000,0.308051,0.263166,0.368438,0.310636,0.236628,0.27662,0.279433,0.306513,0.21083,0.320077,0.285068,0.266272
10.800000000,0.288415,0.277881,0.368057,0.308354,0.259783,0.279156,0.260316,0.332831,0.215695,0.320216,0.266139,0.255347
10.900000000,0.273235,0.243325,0.340047,0.293916,0.262647,0.274349,0.272268,0.350399,0.262271,0.3045,0.275024,0.292936
11.000000000,0.27167,0.23644,0.330692,0.289585,0.264166,0.272432,0.274382,0.35183,0.270741,0.301404,0.273605,0.308216
11.100000000,0.269276,0.270616,0.335701,0.292041,0.257148,0.283801,0.236805,0.349407,0.25158,0.322615,0.268021,0.303704
11.200000000,0.275951,0.282852,0.337099,0.264757,0.254047,0.294842,0.210654,0.36964,0.218564,0.348698,0.256084,0.304456
11.300000000,0.275244,0.261263,0.372845,0.259028,0.261486,0.280199,0.227181,0.367661,0.214688,0.367256,0.251272,0.268507
11.400000000,0.290849,0.253273,0.371212,0.279701,0.289638,0.273124,0.2313,0.328588,0.244723,0.350085,0.26618,0.248938
11.500000000,0.30395,0.266096,0.357069,0.294243,0.304278,0.269054,0.242413,0.321312,0.241457,0.321011,0.263547,0.254838
11.600000000,0.312965,0.256215,0.32131,0.318303,0.299056,0.271001,0.259926,0.290924,0.275785,0.29758,0.271934,0.279672
11.700000000,0.301752,0.248499,0.318115,0.311312,0.293804,0.288118,0.261735,0.295271,0.278453,0.295222,0.270672,0.293434
11.800000000,0.280307,0.254924,0.343756,0.284862,0.280649,0.312816,0.27814,0.313444,0.246214,0.305658,0.252774,0.294886
11.900000000,0.281899,0.273725,0.32647,0.29087,0.266453,0.322382,0.278227,0.31427,0.231653,0.307474,0.292567,0.263662
12.000000000,0.292886,0.280113,0.299529,0.343582,0.249446,0.324778,0.251093,0.316252,0.232957,0.302343,0.302105,0.245506
12.100000000,0.307981,0.278447,0.264993,0.388522,0.23778,0.317133,0.222376,0.320485,0.242336,0.293302,0.303336,0.245773
12.200000000,0.302643,0.281973,0.27579,0.394367,0.262229,0.320917,0.23142,0.313437,0.232837,0.267603,0.293489,0.2486
12.300000000,0.303362,0.259346,0.266499,0.367138,0.288711,0.319078,0.274169,0.295971,0.223754,0.255416,0.293408,0.292534
12.400000000,0.29578,0.265451,0.263291,0.374028,0.293607,0.320913,0.285604,0.28107,0.226001,0.250953,0.299935,0.281169
12.500000000,0.296646,0.273743,0.260579,0.416228,0.293113,0.315846,0.248226,0.302582,0.205091,0.238527,0.285498,0.276779
12.600000000,0.292275,0.26847,0.291799,0.409666,0.283407,0.299703,0.254157,0.287144,0.192587,0.23412,0.28377,0.316085
12.700000000,0.274084,0.288192,0.301622,0.41966,0.267435,0.287752,0.24611,0.280053,0.189885,0.238841,0.301608,0.311998
12.800000000,0.273849,0.301689,0.293656,0.420904,0.256209,0.294706,0.209539,0.269797,0.22111,0.254901,0.299586,0.312712
12.900000000,0.276519,0.307624,0.28024,0.418842,0.274339,0.286933,0.217652,0.297347,0.233437,0.258945,0.262404,0.301927
13.000000000,0.324066,0.266264,0.227111,0.371204,0.301873,0.302387,0.267773,0.299509,0.22579,0.298435,0.260268,0.288021
13.100000000,0.329161,0.26129,0.224965,0.365338,0.311085,0.306808,0.263437,0.295081,0.215188,0.298024,0.278635,0.281356
13.200000000,0.289619,0.269336,0.245621,0.393429,0.321654,0.276181,0.237315,0.322236,0.233502,0.258167,0.281414,0.29699
13.300000000,0.27598,0.260878,0.282598,0.369233,0.290858,0.292474,0.237873,0.352307,0.259626,0.26002,0.239601,0.310347
13.400000000,0.274973,0.258506,0.317531,0.360339,0.255332,0.305964,0.234854,0.360311,0.265248,0.27417,0.209537,0.306063
13.500000000,0.272722,0.240273,0.359766,0.345177,0.240603,0.317575,0.244623,0.369921,0.240436,0.278069,0.193844,0.30196
13.600000000,0.266859,0.267334,0.367063,0.33815,0.257285,0.311965,0.245772,0.342391,0.254241,0.284139,0.193711,0.29015
13.700000000,0.30577,0.265532,0.330565,0.314657,0.257005,0.29556,0.272177,0.33919,0.272584,0.290967,0.205059,0.290111
13.800000000,0.311389,0.271313,0.333956,0.29935,0.273451,0.291419,0.263982,0.345975,0.260608,0.291255,0.213911,0.284079
13.900000000,0.28933,0.279944,0.344247,0.276353,0.274343,0.312335,0.231308,0.356504,0.269985,0.294507,0.209098,0.293733
14.000000000,0.276057,0.275506,0.36184,0.258481,0.249994,0.313027,0.234387,0.347022,0.281903,0.313081,0.209475,0.304853
14.100000000,0.259648,0.268508,0.390128,0.244874,0.244742,0.304346,0.226971,0.376848,0.240094,0.314293,0.193883,0.329017
14.200000000,0.273689,0.299253,0.354463,0.267889,0.297417,0.267631,0.226986,0.358763,0.244554,0.286249,0.216254,0.330614
14.300000000,0.260969,0.285268,0.364348,0.298479,0.316333,0.255105,0.244722,0.35238,0.225552,0.269258,0.232225,0.319642
14.400000000,0.287793,0.24791,0.345566,0.314627,0.28135,0.26371,0.259048,0.329104,0.245613,0.290661,0.269967,0.309034
14.500000000,0.29265,0.261635,0.310659,0.301438,0.281693,0.255352,0.288502,0.303985,0.283691,0.298261,0.287466,0.293694
14.600000000,0.275346,0.250714,0.297311,0.272189,0.284525,0.25325,0.282763,0.315205,0.285819,0.314853,0.291317,0.329783
14.700000000,0.271096,0.233198,0.288635,0.277017,0.281161,0.284778,0.279567,0.312553,0.276226,0.283095,0.32478,0.337867
