TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
116.819591837,-171.682,7.38731,-2.12824,9.35507,1.81187,5.06369,0.720258,7.67474,4.02665,6.23926,-1.10787,6.60905,0.197784,6.39181,3.21577,7.86051,3.64649,0.227986,-4.11068,-2.52112,-4.96881
116.842811791,-171.978,3.08238,-0.586019,8.41578,1.15789,2.58189,-2.29265,6.27614,1.37474,3.84173,0.158316,3.58028,-0.166429,4.88007,2.99246,7.50695,3.5905,2.88693,-3.71194,-2.57138,-6.83143
116.866031746,-167.457,0.0126787,0.648772,5.68167,-0.240809,2.65202,-3.42664,6.38141,0.0709422,4.49366,-2.83122,3.24722,0.0697265,6.93514,5.92997,7.62225,3.27508,0.689306,-3.2123,-0.782354,-4.90969
116.889251701,-165.168,-3.12149,-0.638234,5.6568,-1.00807,0.662058,-4.59519,6.68849,0.0276323,4.70699,-2.0607,3.76699,-1.51682,6.14493,2.87812,8.64732,2.09997,3.2999,-5.36054,-1.37334,-8.02429
116.912471655,-174.575,5.6415,-5.19219,8.86933,-2.51467,1.26555,-3.59167,5.68521,2.05997,3.22371,-3.3708,3.42347,-2.77854,6.62431,2.58057,6.97842,0.728046,-1.45186,-5.90195,-4.28263,-6.81459
116.935691610,-172.931,6.2369,-8.71217,9.03586,-1.39404,0.499223,-5.00892,5.21199,2.47704,5.74907,-2.13896,3.47097,-1.70445,5.84828,3.62631,8.11269,2.83795,0.791193,-5.32744,-4.51939,-6.94196
116.958911565,-170.512,6.87376,-5.50354,9.94893,-2.57722,-0.51919,-3.44259,5.53119,2.31097,4.01963,-1.65816,4.10772,-2.52007,5.32269,2.6309,8.18895,3.57603,1.09016,-7.40691,-3.64751,-4.4336
116.982131519,-169.61,7.23821,-6.72883,9.73684,-1.92757,-0.66483,-3.60354,4.73451,1.70456,3.76994,-2.55455,4.51793,-2.09788,5.43145,2.10796,8.70414,2.66999,-1.16526,-7.44704,-4.07885,-4.37129
117.005351474,-169.324,9.14515,-6.12961,10.7564,-2.7119,0.947863,-2.03046,4.42011,1.44141,4.26833,-1.44437,6.73171,-0.539325,4.99247,1.86177,8.29889,3.82506,-0.0216769,-6.70812,-3.28275,-4.79861
117.028571429,-152.668,9.77097,-0.239063,9.01197,-2.46547,-0.106405,-1.09023,0.198739,0.255256,0.492618,-4.23399,0.741961,-4.42219,2.70094,-1.98374,3.86996,0.397893,0.923454,-5.65856,-0.0388114,-2.05148
117.051791383,-167.154,12.3538,-2.02361,13.9619,3.78288,6.39789,-1.40499,5.37388,1.43993,3.49778,0.108153,5.7998,-1.80081,4.23375,0.510258,4.35238,-0.603031,-0.347241,-5.33117,-2.73427,-5.16601
117.075011338,-171.123,9.66552,-4.13789,14.8732,2.83333,7.39564,-5.47079,4.02565,1.40676,5.28427,1.30709,3.49879,-1.05757,7.15189,2.04231,6.14174,1.81802,1.08632,-3.89149,-1.04182,-3.78014
117.098231293,-165.81,8.92218,-4.92925,12.2467,5.97821,5.67028,-4.63547,5.13661,3.2821,6.73061,3.98332,3.81568,0.429005,6.6106,1.97907,6.23585,2.32012,-0.794971,-4.22086,1.22593,-4.25352
117.121451247,-165.081,6.27885,-3.64405,12.9871,6.38785,5.81619,-2.12126,5.31058,0.525499,2.30793,1.48993,3.64455,0.69957,5.85247,4.02285,9.0243,4.11316,1.04959,-4.0247,-0.392265,-2.78085
117.144671202,-166.794,4.68673,1.40617,7.79266,3.16303,1.77012,-6.62101,3.45549,-0.393139,-0.159583,-3.34773,2.96692,-1.00585,8.68685,4.08914,10.6214,4.51382,3.732,-3.13831,3.86526,-1.59218
117.167891156,-160.005,-4.77389,0.985397,10.0795,-2.71606,6.95311,-6.7199,2.04444,-0.60004,2.14783,-1.95076,4.27245,0.905765,7.10922,3.46981,9.10133,3.561,1.68163,-1.63131,0.64935,-4.95262
117.191111111,-158.195,-11.0096,-1.19891,10.9056,-3.72329,1.05125,-6.50943,4.96354,0.972532,0.597372,-0.311383,5.26426,-1.26352,8.38558,3.80643,7.05113,5.19836,2.09539,-3.58567,-0.711939,-5.98236
117.214331066,-158.15,-7.65085,-4.07454,14.0033,-3.96251,2.07715,-5.63166,5.36665,1.09607,-0.987109,-0.804566,7.26817,-1.72047,6.21791,3.29359,7.3453,3.73978,1.82683,-4.64493,-3.11235,-6.84088
117.237551020,-165.654,-1.91038,-4.01804,15.7051,-6.90549,3.35083,-6.05271,4.57164,0.377518,1.93687,-3.11263,3.64939,-2.35684,8.00005,1.70326,5.35217,2.57786,1.61943,-7.46776,-3.65705,-5.52621
117.260770975,-167,4.31146,-4.62285,12.9982,-6.06439,1.28029,-5.17828,5.36044,1.03722,3.17363,-0.499222,5.19145,-1.91558,5.77517,2.72766,7.26081,2.28619,0.644313,-6.74045,-1.51044,-6.60245
117.283990930,-168.717,7.77077,-7.90776,8.70362,-2.91656,1.92415,-3.86663,4.96388,0.902949,1.81522,0.915231,5.26718,-0.377519,5.66516,3.14427,8.85511,2.63512,0.70264,-7.95234,-2.79954,-5.74808
117.307210884,-163.983,8.88162,-8.56854,9.47056,0.282741,2.22005,-7.51326,3.06309,0.679848,4.05023,-1.60805,2.86666,-2.07062,6.70891,2.39833,8.34103,2.71008,1.34748,-6.64771,-2.85079,-4.3422
