TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
5.897868481,0.112962,0.534585,0.441724,0.0855064,0.394323,0.303066,1.03641,1.1654,0.880901,0.965085,0.578476,1.17171
5.944308390,0.201028,0.527956,0.58255,0.0850343,0.63254,0.315914,1.03892,0.989852,0.574002,0.984972,0.536507,1.09213
5.990748299,0.172971,0.59729,0.493793,0.238734,0.626823,0.7251,0.964837,0.99119,0.583893,0.879179,0.278662,1.0812
6.037188209,0.14824,0.266418,0.187169,0.989866,0.254703,1.03416,0.690912,1.20221,0.375676,0.898659,0.0109795,1.03763
6.083628118,0.977627,0.943517,0.296419,0.671055,0.130999,0.703077,1.30768,1.3433,0.0510885,0.597907,0.0132627,0.33582
6.130068027,0.79086,1.05552,0.520543,0.92493,0.180017,0.448697,1.47293,1.28932,0.0660103,0.403823,0.0424863,0.220202
6.176507937,0.782342,0.959586,0.804596,0.904244,0.261601,0.514226,1.4835,1.0945,0.025629,0.285714,0.168855,0.241063
6.222947846,0.501588,0.370949,1.17437,0.969342,0.219306,0.77442,1.38005,0.805828,0.233358,0.304232,0.327937,0.274471
6.269387755,0.000118773,0.13779,1.38527,1.22547,0.814887,0.954369,0.80375,0.469982,0.387496,0.28104,0.943559,0.206925
6.315827664,0.000264723,0.13252,1.36552,1.35117,0.773705,0.876903,0.143909,0.273293,0.373173,0.29123,1.28996,0.142086
6.362267574,0.000424178,0.0872833,1.45448,1.21579,0.16236,0.657699,0.223307,0.508633,0.519154,0.544069,1.19941,0.187949
6.408707483,0.17641,0.302117,1.00295,0.817393,0.321953,0.770032,1.07183,0.778207,0.395681,0.311235,0.853071,0.543368
6.455147392,0.582027,0.969032,0.565691,0.0579352,0.554449,0.146149,2.22387,0.557069,0.222784,0.417276,1.36997,0.476298
6.501587302,0.765237,1.1332,0.463904,0.0421859,0.641555,0.0386378,2.84358,0.359273,0.264858,0.337228,1.4656,0.27822
6.548027211,0.764072,1.13747,0.42496,0.00036508,0.521137,0.013702,3.36238,0.218132,0.300355,0.324186,1.39903,0.157937
6.594467120,0.646662,1.20296,0.285599,0,0.229698,0,3.85325,0.118502,0.329017,0.359729,1.44259,0.180278
6.640907029,0.112712,1.325,0.118204,0.00137098,0.216602,0.0279744,3.99369,0.0640756,0.416548,0.312013,1.40814,0.186489
6.687346939,0.152901,1.38954,0.130747,0,0.174588,0.046805,4.10011,0.0528869,0.309449,0.011292,1.29967,0.106962
6.733786848,0.108244,1.48143,0.153535,0.00256319,0.123079,0,3.65439,0.355366,0.351448,0.24366,1.32946,0.107591
6.780226757,0.105664,1.46193,0.317033,0,0.0585374,0.00360268,3.47874,0.452229,0.365321,0.133522,1.36383,0.166334
6.826666667,0.140431,1.68158,0.285829,0,0.0594163,0.0178048,3.29731,0.570595,0.437634,0.0417425,1.26877,0.274216
6.873106576,0.210945,1.56002,0.277755,0.00216352,0.0734445,0.178362,3.7867,0.45373,0.456053,0.109554,1.30278,0.0666318
6.919546485,0.120639,1.43824,0.134953,0,0.17869,0.281867,4.07398,0.200913,0.283711,0.0639946,1.36254,0.0589794
6.965986395,0.161017,0.954994,0.222191,0.0018929,0.392324,0.178755,4.10264,0.0998035,0.180691,0.0160061,1.38298,0.00164493
7.012426304,0.149738,0.888826,0.455645,0.0567537,0.382985,0.230996,3.97871,0.28198,0.141319,0.0636506,1.23719,0.000856026
7.058866213,0.241322,1.00488,0.476844,0.0676577,0.489715,0.389849,3.95774,0.250169,0.138119,0.060758,1.09607,0.00602973
7.105306122,0.174,1.40126,0.139751,0.145618,0.473624,0.240083,3.93097,0.210945,0.169996,0.075227,1.14563,0.000555447
7.151746032,0.0728142,1.86706,0.0721894,0.35379,0.362706,0.30911,3.7291,0.196321,0.0421239,0.0793805,1.1217,0.000496848
7.198185941,0.173374,1.58143,0.0568565,0.460489,0.0969552,0.38134,4.13013,0.205377,0.0192105,0.178129,1.02739,0.0131346
7.244625850,0.186142,1.51284,0.131335,0.202888,0.0472135,0.299122,4.34467,0.212933,0.119277,0.0200393,1.14326,0.000437343
7.291065760,0.158546,1.63225,0.10414,0.0931242,0.126175,0.0104018,4.32333,0.215947,0.245451,0,1.19895,0.000393602
7.337505669,0.33635,1.79432,0.0663297,0.124067,0.224734,0.0438848,3.89473,0.165035,0.198589,0,1.17239,0.0749893
7.383945578,0.398684,1.76108,0.0582563,0.165281,0.435855,0.0508391,3.72914,0.0430148,0.1791,0,1.21866,0.114617
7.430385488,0.507517,1.79739,0.0941961,0.159205,0.37467,0.268386,3.88587,0.0418008,0.112532,0,1.46445,0.0467346
7.476825397,0.385121,2.1089,0.0557847,0.0928716,0.153887,0.331899,3.64344,0.229641,0.00919918,0.095952,1.0312,0.127644
7.523265306,0.421698,2.15785,0.0523525,0.0232416,0.125307,0.345746,3.36424,0.370824,0.0262089,0.153126,0.523932,0.389624
7.569705215,0.370289,2.02128,0.056368,0.0528416,0.0539165,0.211452,3.59687,0.430259,0.0510084,0.195772,0.706386,0.324879
7.616145125,0.357409,1.9624,0.00634712,0.0833404,0.0598996,0.219108,3.84696,0.334992,0.0340634,0.136882,1.33095,0.104919
7.662585034,0.201963,1.8269,0.00709024,0.0878889,0.204928,0.253767,3.71126,0.477442,0.0643925,0.017063,1.80882,0.0781362
7.709024943,0.575834,1.74127,0.00463209,0.0792379,0.17345,0.304152,3.21198,0.519266,0.0871789,0.0448102,1.72203,0.0699771
7.755464853,0.484083,1.50124,0.0663612,0.0669566,0.171316,0.175359,3.43218,0.0684167,0.193069,0.0900592,1.54817,0.0707479
7.801904762,0.215403,1.66108,0.0276982,0.129037,0.162306,0.264863,3.53686,0.163869,0.185484,0.00142401,2.04526,0.0518729
7.848344671,0.363926,1.22016,0.736475,0.28177,0.248696,1.52235,2.25665,0.014236,0.371734,0.118998,2.84133,0.064258
7.894784580,0.53648,0.279989,1.46087,0.366521,0.29354,2.31109,0.723111,0.00772657,0.428982,0.11664,3.0995,0.109799
7.941224490,0.620491,0.0154811,1.3893,0.393406,0.436142,2.44438,0.465219,0.00246021,0.378987,0.113899,3.30743,0.116391
7.987664399,0.604114,0.0833786,1.03961,0.445229,0.445452,2.52056,0.232136,0,0.284848,0.070152,3.37718,0.271648
8.034104308,0.625702,0.00226397,0.854334,0.0874546,0.434581,2.60959,0.246037,0,0.152314,0.0185588,3.30573,0.357324
8.080544218,0.565752,0.00214185,0.854222,0.0783673,0.427906,2.28525,0.274307,0.00355541,0.167118,0.00578454,3.19942,0.375851
8.126984127,0.392899,0,0.998609,0.291974,0.502361,2.02415,0.424576,0.136174,0.391088,0.00518424,2.89757,0.430012
8.173424036,0.384929,0.0459098,1.05827,0.213534,0.119732,1.78102,0.61028,0.615952,0.551421,0.0593628,2.9112,0.316962
8.219863946,0.29005,0.0622322,1.16776,0.127476,0.0178195,1.58474,0.624093,0.617321,0.494924,0.36968,2.85128,0.170311
8.266303855,0.093216,0.0630246,1.1173,0.00466713,0.010444,1.60585,0.469006,0.842151,0.299221,0.639968,2.99437,0.184909
8.312743764,0.417454,0.122503,1.24063,0.00217982,0.0294607,1.67534,0.552164,0.47441,0.48838,0.177004,3.41841,0.0698352
8.359183673,0.605831,0.289344,1.33135,0.158466,0.146117,1.97183,0.497878,0.394264,0.542758,0.207639,3.08694,0.0711261
8.405623583,0.597437,0.335657,1.43868,0.266576,0.287031,2.44836,0.353417,0.0485551,0.493202,0.189767,3.10192,0.000603375
8.452063492,0.719853,0.233696,1.31375,0.265543,0.333928,2.43369,0.197706,0.0415306,0.49779,0.189512,3.24281,0.00172587
8.498503401,0.614186,0.128331,1.02835,0.283222,0.328146,2.49167,0.113191,0.0485967,0.371905,0.156126,3.42433,0.163524
8.544943311,0.584359,0.0783644,0.652511,0.280302,0.314502,2.5633,0.114317,0.0487487,0.225986,0.128085,3.49521,0.331643
8.591383220,0.491358,0.0855412,0.6192,0.296847,0.259829,2.34217,0.0942443,0.0452278,0.278105,0.0836104,3.58429,0.36801
8.637823129,0.388567,0.0925473,0.61222,0.175526,0.1381,2.35333,0.411184,0,0.274885,0.132207,3.56703,0.336385
8.684263039,0.491381,0.114401,1.04737,0.203215,0.370348,2.58311,0.56514,0.060193,0.519298,0.00225021,2.93059,0.304608
8.730702948,0.578825,0.189772,1.39113,0.218219,0.351508,2.6019,0.510127,0.0997665,0.653673,0.000763889,2.80262,0.262162
8.777142857,0.586384,0.194306,1.58422,0.217687,0.303468,2.65567,0.231276,0.0329106,0.620408,0.00133337,3.03071,0.216036
8.823582766,0.506725,0.270273,1.53849,0.224561,0.251223,2.54702,0.115273,0.0911762,0.399287,0.0735865,3.24473,0.213352
8.870022676,0.45097,0.047164,1.12341,0.202015,0.182361,2.1818,0.562306,0.402973,0.202017,0.140475,3.11849,0.0585067
8.916462585,0.520657,0.0623054,0.85159,0.179494,0.142752,1.92588,0.778114,0.595729,0.357811,0.0145612,2.71974,0.000282855
8.962902494,0.823942,0.0261614,0.788326,0.0534048,0.0873046,1.63685,0.738642,0.579799,0.526335,0.103901,2.24504,0.165431
9.009342404,0.624504,0.0894922,0.525053,0,0.232283,1.52727,0.435644,0.77135,0.555152,0.036021,2.30945,0.174715
